,batch,user_id,index,intro_user_goals,intro_experience,intro_valuable_comment,intro_bad_comment,intro_moderation_goals,skip
12,4,665c050b07508f6c4f8d01e0,-1,To put my point of view across and contribute to the discussion,Everyone being able to give their opinion but in a balanced and polite way so it's a healthy discussion with no confrontation,"It gives new information, builds on what other people say either in agreement or disagreement, and is detailed","repeating what everyone else has said, things unrelated to the topic, or things that are confrontational and designed to start arguments","it's not biased to either side of a discussion, it makes sense and it helps to keep the conversation going e.g. by asking questions or asking for clarification",False
13,4,662d7fba32d6a738b194d893,-1,"Stating my opinion, being part and contributing to the discussion.","Facts, valid contrasting information, emotional stability and respect",If it is factual or relevant to topic.,"If it is disrespectful, profane, false.","Neutrality, Professionalism, and relevance.",False
14,4,668048aaad62048386c41b2e,-1,To provide a valuable contribution to the discussion.,Moderators looking after the thread so that it feels safe and everyone can contribute to the discussion in a respectful manner.,It provides constructive feedback or contributes a new thought in a respectful way.,"Negleting netiquette, being rude, repeating the same thing, being unclear or vague.","It is neutral, it maintains tthe norms and uses plain, clear language.",False
15,3,65bf988fde82b668f87bc037,-1,"As a user, I aim to share useful insights, interact respectfully, and encourage productive discussions. My goals include learning from others, correcting misunderstandings, and improving my perspectives through feedback.","A good discussion experience involves respectful interactions, clear information sharing, active engagement, diverse perspectives, and effective moderation to maintain a positive atmosphere.","A valuable comment or contribution provides clear, relevant, and insightful information, fosters constructive discussion, and respects diverse viewpoints. It also addresses the topic directly and adds depth to the conversation.","A comment is considered poor quality, unconstructive, or harmful to the discussion if it is vague, off-topic, disrespectful, or provocative. It may also lack meaningful content, ignore the main issue, or disrupt the flow of the conversation.","A helpful moderator comment maintains neutrality, communicates clearly and directly, shows empathy towards diverse perspectives, effectively guides discussions, and ensures fair enforcement of community guidelines.",False
16,3,5ec8fc3ae136b03f6b7d6af0,-1,To obtain or provide more information,Being open to discussion,Providing a different perspective,"Going off on a tangent, hateful comments","Neutrality, getting the conversation back on track if it has strayed",False
17,3,5f7f5dda75c34d0dbe95534e,-1,"To add value, e.g. providing information about a topic, providing data and facts",Respectful tone and the opportunity to learn new things/gain information about a topic,"Facts, additional information, data driven but also critical thinking, questions that make you think objectively and critically about a certain issue/topic","Condescendic replies, immediate rejection of the ideas, jumping to conclusions","Questions that make the user think or read more about the topic, being neutral, encouraging civil conversation about a topic",False
18,3,6656a42b4b51b26ab6ff4ba4,-1,"Neutrality, maintaining the norms, choice of wording","Issue spotting, addressing issues and making sure reply comments are fitting and make sense","That it makes sense, is curious, encouraging and unbias",Bias and condescending comments,"Neutrality, clarity, curiosity, unbiased and encouraging",False
19,3,5e712ce49e93e504345bcb64,-1,My goal would be to constructively add to a conversation or ask further questions.,Respectful language and a willingness to engage with information resources.,I feel a comment is most valuable when it is evident a user has been considerate in their delivery.,"Usually, I find poor quality comments are hateful or rude in some way.",Moderator comments may provide reminders of forum conduct rules or links to resources to prevent the spread of misinformation.,False
20,1,667c38f6a2d7f70b33fc56bd,-1,"As a user, my goals when commenting about a topic are to contribute meaningful and relevant information, engage in thoughtful and respectful dialogue, and help further the discussion by providing insights, asking questions, or offering different perspectives. Additionally, I aim to learn from others' viewpoints and foster a collaborative and supportive environment.","A good experience for users and the discussion is contributed by a respectful and inclusive environment, clear and constructive communication, and active engagement from all participants. Effective moderation that ensures adherence to community norms, encourages positive interactions, and resolves conflicts amicably also plays a significant role. Additionally, the presence of diverse viewpoints and well-articulated arguments enhances the depth and quality of the discussion.","A comment or contribution is valuable when it is factually accurate, relevant to the topic, and adds depth or new insights to the discussion. Clear, well-reasoned arguments that are presented in a respectful and constructive manner are highly valuable. Contributions that ask thoughtful questions, provide credible sources, or offer alternative perspectives also enhance the overall quality of the discussion.","A comment or contribution is of poor quality, unconstructive, or detrimental to the discussion if it contains misinformation, is irrelevant to the topic, or is presented in a disrespectful or hostile manner. Comments that are vague, lack coherence, or fail to engage with the content of the discussion meaningfully can also be detrimental. Additionally, contributions that perpetuate stereotypes, biases, or trigger sensitive issues without care are harmful to the discussion environment.","A helpful moderator comment should be neutral, clear, and concise. It should guide users in a respectful and non-condescending manner, addressing any issues or conflicts while encouraging positive and constructive interactions. Helpful moderator comments should also clarify any misunderstandings, provide relevant information or resources, and maintain the norms of the community. Empathy, patience, and a welcoming tone are essential properties that help foster a supportive and inclusive discussion environment.",False
21,1,60cfc57f7fb89db2e0332e51,-1,"Trying to share my views on a topic, and give a unique perspective.",Getting to have multiple views on a subject and invite deep inciteful discussion,"Something constructive that can invite multiple people to join in the discussion, and are thought out.","Something that is meant to shut down the discussion, trolling, or comments with very few words that just parrot other comments.",Keep the discussion rolling and kicking out people who don't contribute anything. ,False
22,1,6627e9873aef6d7fe74ec026,-1,Argue with OP to provide perspective,Solid informed responces,Provides perspective or real information,"Insults, false information or over argumenative without taking in perpective","Neautraily, maintaining the norms and good choice of wording",False
23,1,608650526b3b575d51285e52,-1,I'd like to share my thoughts about a topic and learn what others think about the topic as well and gain more perspectives on it.,"The discussion being civil, respectful, and allowing all sides to speak, creating a safe space for all users to share their thoughts.","Well constructed, respectful, and open to criticism.","Inflammatory, rude, criticising others without accepting any criticism themselves.",Reminds the users of the topic discussed and making sure the discussion remains civil and fair.,False
24,1,663a7af013938e6bbfb065d5,-1,"When commenting, my goals as a user are to either share my thoughts or respond to/build upon another user's ideas in a positive and/or constructive manner.","A good overall experience for users/discussion is one of positivity, acceptance, and tolerance",A valuable comment adds depth to an existing conversation or proposes new and insightful viewpoints of the given topic,"Comments that are of poor quality, unconstructive, or detrimental to the discussion typically include elements such as profanity, personal insults/attacks, false information, or spam","A helpful moderator comment will concisely and professionally address any and all detrimental conduct, essentially upholding the established rules and guidelines for that particular forum.",False
